Id,TagName,Count,ExcerptPostId,WikiPostId
"317","indexing","14484","5084724","5084723"
"343","collections","12849","5756317","5756316"
"348","audio","20243","6072221","6072220"
"352","nhibernate","17067","3624972","3607611"
"355","validation","38381","5114527","5114526"
"360","parameters","10726","6477436","6477435"
"361","methods","15152","6016074","6016073"
"363","ajax","127237","3877045","3877044"
"364","rest","36543","3624973","3607594"
"365","url","25186","5147326","5147325"
"367","syntax","11758","5643521","5643520"
"369","osx","59006","4979532","4979531"
"370","vim","17560","3624974","3607606"
"371","emacs","13199","3629398","3629397"
"376","silverlight","27467","4171248","4171247"
"378","wpf","107069","3624975","3607561"
"379","error-handling","10535","5506485","5506484"
"382","wordpress","77977","3897620","3897619"
"386","ssh","12119","5953885","5953884"
"387","bash","56732","5094497","5094496"
"390","shell","38853","4958351","4958350"
"432","import","10830","7933864","7933863"
"444","model-view-controller","18464","4890099","4890098"
"456","version-control","11214","3933491","3933490"
"457","dll","15614","5123223","5123222"
"469","checkbox","15665","5289719","5289718"
"470","asp.net-mvc","117282","3625253","3607478"
"491","datatable","10036","5829793","5829792"
"494","vbscript","11578","3625254","3621561"
"506","graphics","12770","5695352","5695351"
"511","concurrency","10918","4774687","4774686"
"519","video","19000","5006599","5006598"
"522","excel","74143","3625256","3613237"
"526","powershell","27544","3625257","3609160"
"539","data","13004","6488312","6488311"
"543","optimization","17975","5112271","5112270"
"549","ubuntu","24230","5022379","5022378"
"578","recursion","17529","3724934","3724933"
"580","perl","47228","3625260","3607675"
"581","hash","13253","5126927","5126925"
"598","performance","55357","5048293","5048292"
"603","time","13338","5674228","5674227"
"607",".htaccess","43618","5034641","5034640"
"608","mod-rewrite","22744","3744959","3744958"
"627","service","13543","8104635","8104634"
"631","foreach","11160","5479110","5479109"
"641","ssl","20383","5124516","5124515"
"642","https","10632","4985338","4985337"
"643","iframe","19149","5107916","5107915"
"647","orm","11173","5253532","5253531"
"669","sharepoint","19317","3653617","3653616"
"688","session","27785","5088687","5088686"
"691","firefox","24894","5253566","5253565"
"724","file-io","15965","4996579","4996578"
"725","configuration","10273","5163171","5163170"
"733","tfs","10968","3760798","3760797"
"742","mobile","18337","6006809","6006808"
"752","wcf","42673","3624977","3607595"
"794","networking","19311","5253674","5253673"
"816","search","21683","5609248","5609247"
"820","jquery","654327","3625262","3607053"
"824","assembly","17909","3640959","3640958"
"829","events","23884","4946849","4946848"
"847","joomla","12593","4262121","4262120"
"848","grails","22925","3702195","3702194"
"849","groovy","12670","3625263","3613160"
"854","matlab","51922","3625264","3609173"
"859","lambda","10368","5329395","5329394"
"862","layout","17685","6063336","6063335"
"865","user-interface","32493","3625266","3623067"
"868","gwt","18642","3625267","3607729"
"869","charts","11039","7248730","7248729"
"889","winapi","25243","3625268","3609906"
"890","jsf","27541","3625269","3607511"
"904","post","20946","5599997","5599996"
"905","html5","79401","3632559","3632558"
"908","xcode","89119","3625271","3607508"
"916","fonts","11135","5652503","5652502"
"926","inheritance","21710","4913888","4913887"
"930","ms-access","25270","3625273","3607034"
"942","logging","18619","3812354","3812352"
"965","plugins","15324","5650530","5650529"
"984","google-app-engine","32422","3624984","3609767"
"990","awk","12541","3779364","3779363"
"994","cocoa","33583","3624985","3608914"
"997","plot","11909","8683770","8683769"
"1000","junit","11388","3861865","3861864"
"1065","animation","23123","5643484","5643483"
"1082","swing","55010","3624988","3617964"
"1104","selenium","22290","3624992","3609793"
"1117","xaml","34121","4858030","4858029"
"1124","encoding","13070","5546228","5546227"
"1125","serialization","17743","4913700","4913699"
"1137","binding","11319","6488332","6488331"
"1141","activerecord","18661","4985587","4985586"
"1151","select","21619","5623507","5623506"
"1158","qt","43458","3624996","3611154"
"1188","jboss","10225","5115454","5115453"
"1189","internet-explorer","31117","4890178","4890177"
"1190","redirect","22625","6030030","6030029"
"1211","spring","71706","3625321","3608862"
"1227","xpath","17196","3652558","3652557"
"1231","command-line","12620","5135131","5135130"
"1263","datetime","26639","5600844","5600843"
"1307","datagrid","10385","5584428","5584427"
"1326","svg","15554","4804745","4804744"
"1357","parsing","31107","3624999","3614979"
"1381","multithreading","74367","4933608","4933607"
"1386","android","722922","3625001","3607484"
"1435","cocoa-touch","32431","3625004","3607663"
"1449","vba","48187","3625005","3612078"
"1469","text","16409","5543709","5543708"
"1477","gcc","19973","3793217","3793216"
"1478","templates","27952","3625006","3608038"
"1508","json","127384","4889848","4889847"
"1531","constructor","10432","5506460","5506459"
"1554","curl","19552","4925838","4925837"
"1581","mysqli","13634","5892310","5892309"
"1583","listview","30710","5160153","5160152"
"1602","jsp","36070","3625011","3607701"
"1603","tomcat","25222","4906492","4906491"
"1608","soap","16982","4988090","4988089"
"1617","struct","12198","5959689","5959688"
"1644","dom","22100","3625014","3607731"
"1646","scroll","12811","9055933","9055932"
"1655","gridview","19007","3625326","3607041"
"1661","pdo","13517","5048684","5048683"
"1695","database-design","15605","4133665","4133664"
"1702","boost","16482","3625327","3607715"
"1720","opencv","26266","4500819","4500818"
"1759","combobox","10490","5353731","5353730"
"1763","caching","21930","5015959","5015958"
"1819","google-maps","37028","3625330","3610293"
"1834","dictionary","19062","6168485","6168484"
"1866","solr","12030","3625332","3608751"
"1925","haskell","23962","3625024","3607687"
"1926","types","11689","5688861","5688860"
"1931","unit-testing","35040","3625025","3608605"
"1995","hadoop","22410","4891088","4891087"
"2027","pointers","26049","4890936","4890935"
"2148","plsql","11076","3625030","3615127"
"2167","memory-leaks","11750","5953812","5953811"
"2176","netbeans","16390","4956045","4956044"
"2218","facebook","67754","4166421","4166420"
"2314","loops","31567","5107864","5107863"
"2433","design-patterns","19979","4913921","4913920"
"2443","asynchronous","18189","3625032","3615096"
"2494","stored-procedures","19578","5265612","5265611"
"2498","replace","12727","7651071","7651070"
"2531","for-loop","20800","4930140","4930139"
"2535","entity-framework","50806","3625038","3621757"
"2579","web-services","46755","4949845","4949844"
"2620","hibernate","47738","3625043","3607520"
"2678","memory-management","17607","6016041","6016040"
"2740","servlets","22939","3625048","3607504"
"2754","casting","10172","5061278","5061277"
"2773","if-statement","21643","5477046","5477045"
"2775","dependency-injection","10274","3625052","3625051"
"2857","zend-framework","18938","3625058","3608762"
"2888","tcp","11871","4899066","4899065"
"2990","jpa","22619","3625060","3610991"
"3081","rspec","11684","4906564","4906563"
"3143","scala","41330","3625064","3607000"
"3262","drupal","15970","3625070","3607327"
"3437","cakephp","24175","3625072","3607501"
"3586","exception-handling","10125","4889886","4889885"
"3600","google-chrome","34424","4701061","4701060"
"3626","join","19703","5182791","5182790"
"3854","login","12962","6489157","6489156"
"3890","javafx","10749","7702585","7702584"
"3988","codeigniter","38776","3996597","3996596"
"4025","extjs","19143","4254965","4254964"
"4103","datagridview","11950","5168028","5168027"
"4190","numpy","19665","3736245","3736244"
"4196","jquery-ui","32729","4983571","4983570"
"4209","file-upload","16800","6228196","6228195"
"4367","paypal","12485","4889949","4889948"
"4446","web-applications","15265","5204498","5204497"
"4452","r","106083","3625322","3607736"
"4506","canvas","18458","3625324","3625323"
"4527","sql-server-2005","17626","5006359","5006358"
"4841","jar","10980","5143744","5143743"
"4898","properties","10761","7992599","7992598"
"4984","ruby-on-rails","217627","3625098","3607365"
"4985","image","64245","5048269","5048268"
"5002","date","31497","5004540","5004539"
"5029","interface","10430","5330390","5330389"
"5052","menu","10481","6771798","6771797"
"5142","exception","23293","5316477","5316476"
"5187","class","37562","5212733","5212732"
"5210","http","31387","4924551","4924550"
"5263","core-data","19555","3625106","3614374"
"5282","sed","11806","4954935","4954934"
"5310","file","40356","5253619","5253618"
"5382","graph","12438","5167473","5167472"
"5486","input","15031","6866812","6866811"
"5569","function","41062","4914091","4914090"
"5584","opengl-es","10800","5329168","5329167"
"5608","list","44857","5329259","5329258"
"5617","jdbc","16604","4771245","4771244"
"5647","build","10087","6700955","6700954"
"5769","oauth","11093","4942566","4942565"
"5852","vector","15173","5611099","5611098"
"5868","view","13123","7470066","7470065"
"5909","timer","10902","6073450","6073449"
"5910","process","10755","5251016","5251015"
"5962","github","14964","4917212","4917211"
"6323","arraylist","15053","6297187","6297186"
"6439","colors","10711","5471293","5471292"
"6525","clojure","10138","3625120","3607689"
"6557","bitmap","10325","5143889","5143888"
"6605","nginx","15134","5023040","5023039"
"6828","dynamic","16101","5678745","5678744"
"6941","image-processing","19117","5166430","5166429"
"6981","object","25286","5329241","5329240"
"7002","batch-file","25982","3625128","3625127"
"7003","objective-c","239620","3625129","3607044"
"7027","spring-mvc","28622","4734981","4734980"
"7979","matplotlib","13333","3796783","3796782"
"8109","download","10083","5987949","5987948"
"8279","heroku","17493","4966444","4966443"
"8512","matrix","16186","6522764","6522763"
"8944","utf-8","12261","4926515","4926514"
"8945","intellij-idea","13076","4929443","4929442"
"9002","button","21423","6063373","6063372"
"10052","filter","10624","8641255","8641254"
"10233","jquery-plugins","11974","5388174","5388173"
"10593","hyperlink","11586","5025209","5025208"
"10742","django-models","12126","6357582","6357581"
"11272","spring-security","10465","3625152","3612938"
"11444","amazon-s3","10859","4994052","4994051"
"12280","javascript-events","11940","5094956","5094955"
"12375","amazon-ec2","10721","5123215","5123214"
"13423","mvvm","15580","4972948","4972947"
"13591","excel-vba","34710","4394313","4394312"
"14012","actionscript-3","37783","3625167","3612395"
"14158","azure","23238","4923902","4923901"
"14456","visual-studio-2010","45544","4981561","4981560"
"14642","magento","31450","3625168","3609619"
"15627","go","11446","4900855","4900854"
"18929","css3","44947","3625182","3611413"
"22905","webview","11161","6276750","6276749"
"23087","uitableview","39682","5236085","5236084"
"25430","multidimensional-array","15205","6583885","6583884"
"25863","uiviewcontroller","11237","5284069","5284068"
"26050","uiview","12953","6669329","6669328"
"26762","yii","13616","4953718","4953717"
"27300","java-ee","23229","3625213","3610420"
"28511","unity3d","12399","5155344","5155343"
"28949","cocos2d-iphone","10398","4932649","4932648"
"30073","mongodb","50268","4542745","4542744"
"30408","sql-server-2008","43217","5046391","5046390"
"32307","gradle","11206","5090584","5090583"
"32472","visual-studio-2008","15281","5006374","5006373"
"33126","linq-to-sql","12817","4915639","4915638"
"33388","amazon-web-services","19213","5063862","5063861"
"33953","visual-studio","46410","3625329","3607531"
"34469","visual-c++","20920","3625223","3625222"
"34777","reporting-services","13466","5672141","5672140"
"36252","winforms","60642","3639334","3639333"
"39308","google-maps-api-3","16395","4986312","4986311"
"41127","maven","35691","3625286","3607524"
"45162","highcharts","10983","5491220","5491219"
"46220","google-chrome-extension","11641","3625296","3611087"
"46426","node.js","91486","4238969","4238968"
"47962","android-intent","19679","6075066","6075065"
"48572","ipad","32715","5050429","5050428"
"49895","primefaces","13397","5226131","5226130"
"50027","windows-phone-7","20097","3895529","3895528"
"53233","android-layout","32146","5872749","5872748"
"54630","google-apps-script","10474","7235943","7235942"
"56957","facebook-graph-api","25721","4913428","4913427"
"57799","symfony2","33202","5692076","5692075"
"58299","ios4","11098","5304662","5304661"
"58338","ios","367488","4536664","4536663"
"59047","python-2.7","37124","8171806","8171805"
"59103","razor","18758","3878715","3878714"
"59458","jsf-2","14525","4904281","4904280"
"59767","data-structures","14158","4892310","4892309"
"59809","android-listview","14857","6881604","6881603"
"60010","python-3.x","23841","4564547","4564546"
"60483","jquery-mobile","21632","4447768","4447767"
"60676","doctrine2","10312","4151874","4151873"
"60836","playframework","10391","3625320","3607375"
"62301","express","17281","4952048","4952047"
"63153","backbone.js","18645","4985797","4985796"
"64108","ruby-on-rails-3","53723","4896929","4896928"
"64139","c#-4.0","21489","5345822","5345821"
"64388","elasticsearch","12022","5970741","5970740"
"64999","jenkins","12232","4949298","4949297"
"67023","android-fragments","20581","6165075","6165074"
"67617","asp.net-mvc-3","38309","5660898","5660897"
"67719","pandas","15562","6469623","6469622"
"69665","windows-8","10398","6272153","6272152"
"69721","ios5","12160","6256097","6256096"
"70885","d3.js","15741","6639193","6639192"
"71051","asp.net-mvc-4","34059","6764741","6764740"
"72257","web","16080","7175470","7175469"
"72270","twitter-bootstrap","50773","7165534","7165533"
"72390","c++11","24499","7169865","7169864"
"73524","android-activity","19334","8463593","8463592"
"75151","laravel","25728","8344578","8344577"
"75657","ember.js","16569","8481758","8481757"
"77497","asp.net-web-api","14010","9332028","9332027"
"78022","angularjs","120029","9580981","9580980"
"78326","knockout.js","14501","10495895","10495894"
"78331","cordova","37445","9732868","9732867"
"79102","parse.com","13545","10305759","10305758"
"79111","meteor","15063","10082544","10082543"
"80825","visual-studio-2012","21198","10850047","10850046"
"81474","windows-phone-8","18326","11162486","11162485"
"82275","selenium-webdriver","11967","11663014","11663013"
"82352","drop-down-menu","13788","11578924","11578923"
"85786","ruby-on-rails-4","24775","13334177","13334176"
"88155","angularjs-directive","11093","15262558","15262557"
"88458","laravel-4","13082","14712870","14712869"
"91905","android-studio","14627","16573807","16573806"
"92809","ios7","15082","17031309","17031308"
"93364","visual-studio-2013","15628","17331196","17331195"
"93851","twitter-bootstrap-3","10719","17926518","17926517"
"104797","swift","53705","24001727","24001726"
"104810","ios8","10126","24005595","24005594"
